Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
lzip -9	4.958	1.000	69.096	.215	1.215
lzip -8	4.942	.993	63.781	.217	1.224
lzip -7	4.900	1.091	64.778	.219	1.135
lzip -6	4.688	1.413	70.267	.227	.934
lzip -5	4.383	2.028	66.867	.242	.735
lzip -4	4.093	2.788	63.781	.259	.617
lzip -3	3.788	4.721	60.967	.279	.490
lzip -2	3.512	7.926	58.391	.301	.427
lzip -1	3.327	12.086	57.580	.317	.399
lzip -0	3.257	31.171	51.182	.326	.358
