Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
gzip -9	3.437	17.131	180.252	.295	.353
gzip -8	3.437	17.060	153.548	.296	.354
gzip -7	3.421	21.592	180.252	.297	.343
gzip -6	3.397	26.920	165.832	.300	.337
gzip -5	3.334	35.739	159.453	.305	.332
gzip -4	3.191	49.949	165.832	.319	.339
gzip -3	3.045	49.949	142.958	.334	.354
gzip -2	2.912	60.967	142.958	.349	.365
gzip -1	2.768	65.806	138.193	.368	.383
