Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
bzip2 -9	4.795	10.469	29.825	.241	.336
bzip2 -8	4.757	10.287	32.137	.241	.338
bzip2 -7	4.713	10.038	32.389	.242	.341
bzip2 -6	4.663	10.657	31.647	.245	.338
bzip2 -5	4.607	10.416	28.202	.252	.348
bzip2 -4	4.528	10.996	24.531	.260	.350
bzip2 -3	4.429	10.938	32.903	.255	.346
bzip2 -2	4.284	11.612	29.402	.267	.353
bzip2 -1	4.018	10.824	33.705	.277	.369
