Compressor	Ratio	Compression (MB/s)	Decompression (MB/s)	Load time (s/MB)	Send time (s/MB)
xz -9	4.943	1.083	84.608	.213	1.136
xz -8	4.941	1.115	84.608	.213	1.109
xz -7	4.892	1.214	84.608	.215	1.038
xz -6	4.804	1.344	86.370	.219	.963
xz -5	4.641	1.605	81.290	.227	.850
xz -4	4.291	2.295	78.222	.245	.680
xz -3	4.000	2.745	76.774	.263	.627
xz -2	3.876	5.520	74.032	.270	.451
xz -1	3.678	12.193	66.867	.285	.367
xz -0	3.251	17.274	56.024	.324	.381
